Num Cols: [23]
Cat Cols: [3, 5, 9]
Null Rows: []
Dirty Rows: []
14027, 1, 0.807959
14922, 1, 0.807959
14923, 1, 0.807959
6742, 0, 0.807937
6743, 0, 0.807937
6744, 0, 0.807937
6758, 0, 0.807937
6759, 0, 0.807937
1561, 1, 0.799902
1562, 1, 0.799902
1563, 1, 0.799902
7503, 1, 0.799902
9986, 1, 0.799902
9987, 1, 0.799902
11177, 1, 0.799902
11199, 1, 0.799902
14971, 0, 0.795300
14972, 0, 0.795300
14973, 0, 0.795300
13146, 1, 0.791846
13147, 1, 0.791846
14025, 1, 0.791846
14026, 1, 0.791846
15005, 1, 0.791846
13907, 0, 0.791824
13908, 0, 0.791824
5143, 0, 0.787244
5144, 0, 0.787244
5145, 0, 0.787244
10879, 0, 0.787244
10880, 0, 0.787244
10881, 0, 0.787244
1769, 1, 0.783789
1770, 1, 0.783789
2392, 1, 0.783789
2393, 1, 0.783789
2394, 1, 0.783789
6900, 1, 0.783789
6901, 1, 0.783789
7504, 1, 0.783789
11195, 1, 0.783789
11829, 1, 0.783789
12981, 1, 0.783789
12982, 1, 0.783789
13148, 1, 0.783789
6745, 0, 0.783767
6746, 0, 0.783767
6747, 0, 0.783767
1571, 0, 0.779187
1572, 0, 0.779187
1573, 0, 0.779187
1574, 0, 0.779187
11903, 0, 0.779187
11904, 0, 0.779187
13934, 0, 0.779187
13935, 0, 0.779187
13936, 0, 0.779187
2894, 1, 0.775733
6872, 1, 0.775733
13149, 1, 0.775733
13993, 1, 0.775733
13994, 1, 0.775733
14932, 1, 0.775733
12092, 0, 0.775711
12093, 0, 0.775711
12166, 0, 0.775711
1517, 0, 0.771131
1518, 0, 0.771131
11171, 0, 0.771131
11905, 0, 0.771131
11906, 0, 0.771131
12971, 0, 0.771131
13143, 0, 0.771131
13144, 0, 0.771131
13145, 0, 0.771131
13751, 0, 0.771131
13752, 0, 0.771131
13753, 0, 0.771131
6873, 1, 0.767676
14946, 1, 0.767676
14947, 1, 0.767676
