Num Cols: [23]
Cat Cols: [3, 5, 9]
Null Rows: []
Dirty Rows: []
20448, 1, 1.196295
20449, 1, 1.196295
20450, 1, 1.196295
22975, 1, 1.196295
22976, 1, 1.196295
22977, 1, 1.196295
23806, 1, 1.196295
5424, 0, 1.195612
5425, 0, 1.195612
5426, 0, 1.195612
18333, 0, 1.191661
20630, 0, 1.191661
12911, 1, 1.185444
22865, 1, 1.185444
22866, 1, 1.185444
22867, 1, 1.185444
23537, 1, 1.185444
24949, 1, 1.185444
24950, 1, 1.185444
24951, 1, 1.185444
20042, 0, 1.184761
20043, 0, 1.184761
20044, 0, 1.184761
20045, 0, 1.184761
20461, 0, 1.184761
20462, 0, 1.184761
20631, 0, 1.180810
20632, 0, 1.180810
2924, 1, 1.174593
2925, 1, 1.174593
7368, 1, 1.174593
7369, 1, 1.174593
11537, 1, 1.174593
11538, 1, 1.174593
18186, 1, 1.174593
19383, 1, 1.174593
19384, 1, 1.174593
19388, 1, 1.174593
19980, 1, 1.174593
19981, 1, 1.174593
19982, 1, 1.174593
19983, 1, 1.174593
23535, 1, 1.174593
23536, 1, 1.174593
23672, 1, 1.174593
19630, 0, 1.173909
23541, 0, 1.173909
23542, 0, 1.173909
23875, 0, 1.173909
3338, 1, 1.163741
7370, 1, 1.163741
11533, 1, 1.163741
19387, 1, 1.163741
6141, 0, 1.163058
6142, 0, 1.163058
6143, 0, 1.163058
23637, 0, 1.163058
23638, 0, 1.163058
23673, 0, 1.163058
23674, 0, 1.163058
2930, 1, 1.152890
2931, 1, 1.152890
11531, 1, 1.152890
11532, 1, 1.152890
19385, 1, 1.152890
22207, 1, 1.152890
22208, 1, 1.152890
22209, 1, 1.152890
22863, 1, 1.152890
22864, 1, 1.152890
23540, 1, 1.152890
5427, 0, 1.152207
5428, 0, 1.152207
5429, 0, 1.152207
19629, 0, 1.152207
23290, 0, 1.152207
23291, 0, 1.152207
23292, 0, 1.152207
23873, 0, 1.152207
23874, 0, 1.152207
11076, 1, 1.142039
11534, 1, 1.142039
22342, 1, 1.142039
22343, 1, 1.142039
22344, 1, 1.142039
23529, 1, 1.142039
23530, 1, 1.142039
23531, 1, 1.142039
11636, 0, 1.141356
11637, 0, 1.141356
11638, 0, 1.141356
23549, 0, 1.141356
23550, 0, 1.141356
23675, 0, 1.141356
2592, 1, 1.131188
8951, 1, 1.131188
8952, 1, 1.131188
8953, 1, 1.131188
23539, 1, 1.131188
25895, 1, 1.131188
25896, 1, 1.131188
21398, 0, 1.126554
21399, 0, 1.126554
22989, 0, 1.126554
22990, 0, 1.126554
2586, 1, 1.120336
2587, 1, 1.120336
2588, 1, 1.120336
12812, 1, 1.120336
12813, 1, 1.120336
12814, 1, 1.120336
19994, 1, 1.120336
25891, 1, 1.120336
25892, 1, 1.120336
4771, 0, 1.119653
4772, 0, 1.119653
17145, 0, 1.119653
17146, 0, 1.119653
17147, 0, 1.119653
17238, 0, 1.119653
17239, 0, 1.119653
17240, 0, 1.119653
19591, 0, 1.119653
19592, 0, 1.119653
22987, 0, 1.115702
22988, 0, 1.115702
5642, 1, 1.109485
5643, 1, 1.109485
8882, 1, 1.109485
8883, 1, 1.109485
12910, 1, 1.109485
19127, 1, 1.109485
19128, 1, 1.109485
19992, 1, 1.109485
19993, 1, 1.109485
22010, 1, 1.109485
22011, 1, 1.109485
23375, 1, 1.109485
23376, 1, 1.109485
23377, 1, 1.109485
5632, 0, 1.108802
5633, 0, 1.108802
5640, 0, 1.108802
5641, 0, 1.108802
23378, 0, 1.108802
23379, 0, 1.108802
23380, 0, 1.108802
23676, 0, 1.108802
23872, 0, 1.108802
21479, 0, 1.104851
6138, 1, 1.098634
6139, 1, 1.098634
6140, 1, 1.098634
8884, 1, 1.098634
8885, 1, 1.098634
19625, 1, 1.098634
19626, 1, 1.098634
25743, 1, 1.098634
25744, 1, 1.098634
25745, 1, 1.098634
25831, 1, 1.098634
25832, 1, 1.098634
25833, 1, 1.098634
5631, 0, 1.097951
5638, 0, 1.097951
5639, 0, 1.097951
20489, 0, 1.097951
20490, 0, 1.097951
20491, 0, 1.097951
23543, 0, 1.097951
23544, 0, 1.097951
23870, 0, 1.097951
24031, 0, 1.097951
24032, 0, 1.097951
24583, 0, 1.097951
24584, 0, 1.097951
24585, 0, 1.097951
11782, 0, 1.094000
11783, 0, 1.094000
25093, 0, 1.094000
25094, 0, 1.094000
2593, 1, 1.087783
2594, 1, 1.087783
24952, 1, 1.087783
24953, 1, 1.087783
24954, 1, 1.087783
18261, 0, 1.087099
19639, 0, 1.087099
19640, 0, 1.087099
18806, 0, 1.083149
18807, 0, 1.083149
18808, 0, 1.083149
3329, 1, 1.076931
3330, 1, 1.076931
3331, 1, 1.076931
22787, 1, 1.076931
22788, 1, 1.076931
25834, 1, 1.076931
25835, 1, 1.076931
25836, 1, 1.076931
3334, 0, 1.076248
3343, 0, 1.076248
3344, 0, 1.076248
11642, 0, 1.076248
11643, 0, 1.076248
11644, 0, 1.076248
19593, 0, 1.076248
19594, 0, 1.076248
22995, 0, 1.072297
22996, 0, 1.072297
25095, 0, 1.072297
18171, 1, 1.066080
18172, 1, 1.066080
18173, 1, 1.066080
19125, 1, 1.066080
19126, 1, 1.066080
19377, 1, 1.066080
19378, 1, 1.066080
19379, 1, 1.066080
23625, 1, 1.066080
3332, 0, 1.065397
3333, 0, 1.065397
5634, 0, 1.065397
5635, 0, 1.065397
11639, 0, 1.065397
11640, 0, 1.065397
11641, 0, 1.065397
23677, 0, 1.065397
23678, 0, 1.065397
25749, 0, 1.065397
25750, 0, 1.065397
12921, 1, 1.055229
12922, 1, 1.055229
18187, 1, 1.055229
18188, 1, 1.055229
19918, 1, 1.055229
19919, 1, 1.055229
20492, 1, 1.055229
20493, 1, 1.055229
20494, 1, 1.055229
22018, 1, 1.055229
22019, 1, 1.055229
24955, 1, 1.055229
24956, 1, 1.055229
5636, 0, 1.054546
5637, 0, 1.054546
18183, 0, 1.054546
18184, 0, 1.054546
19628, 0, 1.054546
21480, 0, 1.050595
25096, 0, 1.050595
4847, 1, 1.044378
4848, 1, 1.044378
4849, 1, 1.044378
5622, 1, 1.044378
5623, 1, 1.044378
5624, 1, 1.044378
9389, 1, 1.044378
9390, 1, 1.044378
9391, 1, 1.044378
9392, 1, 1.044378
14452, 1, 1.044378
14453, 1, 1.044378
14454, 1, 1.044378
19627, 1, 1.044378
19976, 1, 1.044378
19977, 1, 1.044378
23538, 1, 1.044378
23763, 1, 1.044378
23764, 1, 1.044378
23765, 1, 1.044378
3341, 0, 1.043695
3342, 0, 1.043695
7371, 0, 1.043695
25755, 0, 1.043695
25756, 0, 1.043695
11075, 0, 1.039744
21481, 0, 1.039744
22719, 0, 1.039744
4863, 1, 1.033526
4864, 1, 1.033526
20002, 1, 1.033526
20003, 1, 1.033526
22785, 1, 1.033526
23766, 1, 1.033526
24586, 1, 1.033526
24587, 1, 1.033526
24588, 1, 1.033526
24957, 1, 1.033526
22717, 0, 1.028892
22718, 0, 1.028892
3026, 1, 1.022675
3027, 1, 1.022675
3028, 1, 1.022675
4850, 1, 1.022675
4851, 1, 1.022675
4852, 1, 1.022675
19978, 1, 1.022675
19979, 1, 1.022675
23670, 1, 1.022675
25893, 1, 1.022675
25894, 1, 1.022675
18260, 0, 1.021992
19634, 0, 1.021992
23943, 0, 1.021992
23944, 0, 1.021992
11780, 0, 1.018041
11781, 0, 1.018041
4865, 1, 1.011824
4866, 1, 1.011824
